bResult,blueTeamTag,redTeamTag,gamelength
1,SUP,HWA,34
1,AUR,FB,47
1,FB,AUR,35
1,GAL,AUR,27
1,AUR,GAL,32
1,SUP,FB,24
1,HWA,GS,38
1,CRW,DP,31
1,GAL,SUP,30
1,HWA,DP,36
1,AUR,CRW,50
1,GS,GAL,35
1,FB,DP,37
1,CRW,HWA,32
1,SUP,AUR,36
1,FB,HWA,51
1,SUP,CRW,43
1,AUR,GS,55
1,HWA,GAL,31
1,DP,AUR,36
1,SUP,GS,32
1,GAL,FB,41
1,SUP,DP,24
1,CRW,GS,22
1,GS,DP,46
1,DP,GS,49
1,CRW,GAL,29
1,AUR,FB,37
1,HWA,GS,37
1,DP,CRW,42
1,CRW,DP,26
1,SUP,FB,39
1,AUR,GAL,40
1,AUR,CRW,40
1,HWA,DP,39
1,DP,HWA,32
1,SUP,GAL,31
1,FB,GS,38
1,GS,FB,57
1,SUP,AUR,25
1,CRW,HWA,36
1,FB,DP,44
1,GAL,GS,22
1,GAL,DP,25
1,SUP,CRW,29
1,FB,HWA,28
1,AUR,GS,31
1,HWA,GAL,47
1,GAL,HWA,36
1,FB,CRW,22
1,CRW,FB,29
1,DP,AUR,26
1,AUR,DP,29
1,GS,SUP,28
1,CRW,GAL,26
1,CRW,GAL,28
1,CRW,GAL,31
1,HWA,FB,52
1,FB,HWA,38
1,HWA,GAL,37
1,HWA,GAL,31
1,GAL,HWA,37
1,GAL,HWA,21
1,CRW,AUR,32
1,CRW,AUR,37
1,CRW,AUR,39
1,FB,SUP,35
1,SUP,FB,43
1,SUP,FB,36
1,SUP,CRW,34
1,CRW,SUP,29
1,FB,AUR,52
1,SUP,FB,26
1,DP,CRW,45
1,CRW,DP,37
1,P3P,GAL,32
1,GAL,P3P,30
1,GAL,AUR,35
1,AUR,GAL,44
1,CRW,P3P,33
1,P3P,CRW,34
1,SUP,DP,33
1,FB,CLK,33
1,SUP,P3P,28
1,AUR,CRW,34
1,CRW,AUR,35
1,DP,FB,52
1,FB,DP,34
1,CLK,GAL,50
1,GAL,CLK,37
1,AUR,SUP,30
1,SUP,AUR,25
1,CRW,CLK,27
1,FB,GAL,66
1,P3P,DP,33
1,DP,P3P,35
1,GAL,CRW,56
1,CRW,GAL,27
1,SUP,CLK,32
1,FB,P3P,45
1,P3P,FB,39
1,AUR,DP,31
1,DP,AUR,31
1,SUP,GAL,45
1,GAL,SUP,34
1,DP,CLK,37
1,FB,CRW,43
1,CRW,FB,25
1,P3P,AUR,26
1,AUR,P3P,35
1,CRW,SUP,37
1,DP,GAL,34
1,P3P,CLK,32
1,AUR,CLK,23
1,SUP,FB,29
1,FB,SUP,28
1,P3P,GAL,30
1,CRW,DP,30
1,AUR,GAL,31
1,FB,CLK,17
1,SUP,DP,31
1,P3P,CRW,36
1,CRW,P3P,27
1,FB,DP,38
1,SUP,P3P,33
1,CRW,AUR,37
1,AUR,CRW,27
1,P3P,DP,32
1,FB,GAL,41
1,CRW,CLK,26
1,CLK,CRW,37
1,AUR,SUP,28
1,SUP,CLK,32
1,P3P,FB,28
1,FB,P3P,34
1,AUR,DP,21
1,CRW,GAL,34
1,GAL,CRW,34
1,CLK,DP,38
1,DP,CLK,48
1,FB,CRW,23
1,CRW,P3P,47
1,P3P,CRW,27
1,CRW,P3P,44
1,AUR,DP,24
1,AUR,DP,28
1,AUR,DP,39
1,FB,CRW,42
1,FB,CRW,44
1,SUP,AUR,23
1,SUP,AUR,27
1,FB,SUP,33
1,FB,SUP,31
1,DW,CHF,35
1,CHF,DW,29
1,TM,X5,26
1,AE,SIN,38
1,SIN,AE,35
1,LGC,AV,35
1,AV,SIN,35
1,LGC,AE,42
1,DW,X5,27
1,CHF,TM,34
1,SIN,LGC,29
1,LGC,SIN,47
1,SIN,LGC,27
1,AV,AE,30
1,CHF,X5,27
1,DW,TM,30
1,AV,X5,23
1,DW,LGC,36
1,LGC,DW,37
1,SIN,TM,45
1,TM,SIN,37
1,CHF,AE,28
1,CHF,AV,27
1,LGC,X5,27
1,DW,AE,27
1,SIN,X5,25
1,AV,TM,32
1,TM,AV,40
1,AV,TM,32
1,LGC,CHF,48
1,CHF,SIN,38
1,SIN,CHF,40
1,CHF,SIN,31
1,X5,AE,41
1,AE,X5,33
1,LGC,TM,21
1,DW,AV,32
1,DW,TM,31
1,SIN,LGC,26
1,CHF,X5,41
1,AV,AE,45
1,AE,AV,32
1,AV,AE,32
1,LGC,AV,45
1,DW,CHF,22
1,SIN,AE,22
1,TM,X5,22
1,CHF,TM,18
1,AV,SIN,51
1,DW,X5,25
1,LGC,AE,34
1,CHF,SIN,27
1,SIN,CHF,31
1,SIN,LGC,22
1,SIN,LGC,61
1,LGC,SIN,29
1,LGC,SIN,42
1,DW,LGC,24
1,LGC,DW,39
1,DW,CHF,27
1,CHF,DW,38
