bResult,rResult,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,Year
0,1,Rumble,RekSai,Viktor,Jinx,Thresh,Maokai,Gragas,KogMaw,Tristana,Janna,2015
0,1,Vladimir,Elise,Syndra,Vayne,Bard,Shen,LeeSin,Orianna,Sivir,Alistar,2015
0,1,Maokai,Nidalee,Azir,Tristana,Braum,Gnar,Vi,KogMaw,Jinx,Janna,2015
0,1,Fizz,Gragas,Viktor,Corki,Braum,Maokai,Nidalee,Orianna,KogMaw,Janna,2015
0,1,Shen,RekSai,Lulu,KogMaw,Braum,Olaf,Gragas,Ezreal,Tristana,Alistar,2015
0,1,Maokai,Nidalee,Orianna,Lucian,Janna,Shen,Evelynn,Azir,Sivir,Alistar,2015
0,1,Nautilus,Nidalee,Viktor,Jinx,Morgana,Maokai,Gragas,KogMaw,Tristana,Janna,2015
1,0,Khazix,Zac,Zed,Lucian,Thresh,Maokai,Nunu,Orianna,Tristana,Karma,2015
0,1,Riven,Ekko,Viktor,Sivir,Nautilus,JarvanIV,RekSai,Ezreal,KogMaw,Thresh,2015
1,0,Olaf,Gragas,TwistedFate,Ezreal,Janna,Rumble,RekSai,Jayce,Corki,Alistar,2015
0,1,Shen,Gragas,Viktor,Sivir,Annie,Gnar,Shyvana,Orianna,Tristana,Karma,2015
0,1,Rumble,Gragas,JarvanIV,Sivir,Shen,Kassadin,Elise,Irelia,Draven,Thresh,2015
1,0,Maokai,Gragas,Azir,Sivir,Annie,Gnar,LeeSin,Viktor,KogMaw,Janna,2015
0,1,Shen,Gragas,Orianna,Tristana,Alistar,Maokai,Shyvana,Lulu,Ashe,Braum,2015
1,0,Gnar,Nidalee,Orianna,KogMaw,Alistar,Maokai,Rengar,TwistedFate,Sivir,Braum,2015
1,0,Maokai,Nidalee,Viktor,Kalista,Thresh,Fizz,Nautilus,TwistedFate,Sivir,Janna,2015
0,1,Vladimir,LeeSin,TwistedFate,Lucian,Nautilus,Rumble,Sejuani,Urgot,Graves,Alistar,2015
1,0,Lulu,Nunu,Corki,KogMaw,Janna,Vladimir,Sejuani,Karthus,Lucian,Nautilus,2015
0,1,Rumble,JarvanIV,Ezreal,Sivir,Alistar,Hecarim,Sejuani,Vladimir,Lucian,Janna,2015
1,0,Hecarim,LeeSin,Vladimir,Sivir,Nautilus,Maokai,RekSai,Orianna,Kalista,Thresh,2015
1,0,Rumble,RekSai,Fizz,Lucian,Janna,Morgana,Vi,Vladimir,Sivir,Leona,2015
0,1,Shyvana,Nunu,Vladimir,Sivir,Thresh,Hecarim,RekSai,Orianna,Graves,Alistar,2015
0,1,Maokai,RekSai,Orianna,Graves,Morgana,Vladimir,Vi,Zed,Sivir,Leona,2015
0,1,Hecarim,Gragas,Corki,Draven,Morgana,Sion,Sejuani,Lissandra,Lucian,Janna,2015
1,0,Hecarim,Nunu,Azir,Sivir,Alistar,Maokai,Sejuani,Lissandra,Lucian,Nautilus,2015
1,0,Hecarim,Sejuani,Corki,Lucian,Nautilus,Sion,Nunu,Lulu,KogMaw,Janna,2015
0,1,Lulu,Sejuani,Urgot,Kalista,Janna,Maokai,Gragas,Corki,Lucian,Braum,2015
1,0,Hecarim,Gragas,Lissandra,Sivir,Nautilus,Maokai,Sejuani,Lulu,Lucian,Alistar,2015
0,1,Lulu,Nidalee,Urgot,Corki,Janna,Shyvana,Nunu,Orianna,Sivir,Nautilus,2015
0,1,Kennen,Nunu,Karthus,Urgot,Nautilus,Lulu,Gragas,Ahri,Jinx,Thresh,2015
0,1,Gnar,LeeSin,TwistedFate,Sivir,Leona,Maokai,Gragas,Leblanc,Lucian,Thresh,2015
0,1,Shyvana,Nunu,Lulu,KogMaw,Alistar,Sion,Gragas,Urgot,Corki,Nautilus,2015
1,0,Gnar,Gragas,Orianna,Kalista,Thresh,Vladimir,RekSai,Zed,Vayne,Nautilus,2015
1,0,Rumble,Sejuani,Corki,Twitch,Thresh,Morgana,RekSai,Yasuo,Sivir,Janna,2015
0,1,Hecarim,RekSai,Azir,Vayne,Janna,Shyvana,Gragas,Kassadin,Corki,Nautilus,2015
1,0,Sion,Gragas,Ahri,Sivir,Nautilus,Hecarim,Nunu,Leblanc,Corki,Thresh,2015
0,1,Gnar,Sejuani,Ziggs,Kalista,Janna,Lulu,Nunu,Corki,Lucian,Nautilus,2015
0,1,Lulu,Gragas,Ahri,Jinx,Nami,Maokai,Sejuani,Urgot,Sivir,Braum,2015
0,1,Maokai,Gragas,Corki,Lucian,Morgana,Sion,Sejuani,KogMaw,Kalista,Kennen,2015
1,0,Maokai,Sejuani,Urgot,Corki,Kennen,Sion,Gragas,Lulu,Sivir,Braum,2015
0,1,Vladimir,Zac,Zed,Sivir,Nautilus,Maokai,Vi,Chogath,Kalista,Kennen,2015
1,0,Shen,Elise,Azir,KogMaw,Janna,Gnar,Ekko,Viktor,Tristana,Alistar,2015
0,1,Gnar,Nidalee,Kassadin,Lucian,Braum,Shen,Elise,Lulu,KogMaw,Leona,2015
1,0,Shen,Elise,Azir,Tristana,Alistar,Gangplank,RekSai,KogMaw,Corki,Thresh,2015
0,1,Shen,Evelynn,Azir,Tristana,Thresh,Olaf,Nidalee,Lulu,Sivir,Braum,2015
